"","Year   ","Articles"
"1","1960",2
"2","1962",2
"3","1963",2
"4","1964",1
"5","1965",2
"6","1966",1
"7","1967",10
"8","1968",10
"9","1969",19
"10","1970",15
"11","1971",23
"12","1972",20
"13","1973",32
"14","1974",31
"15","1975",27
"16","1976",29
"17","1977",23
"18","1978",34
"19","1979",28
"20","1980",34
"21","1981",5
"22","1982",9
"23","1983",4
"24","1984",11
"25","1985",6
"26","1986",9
"27","1987",10
"28","1988",10
"29","1989",24
"30","1990",36
"31","1991",24
"32","1992",29
"33","1993",35
"34","1994",29
"35","1995",34
"36","1996",45
"37","1997",45
"38","1998",52
"39","1999",44
"40","2000",48
"41","2001",50
"42","2002",58
"43","2003",49
"44","2004",76
"45","2005",83
"46","2006",73
"47","2007",77
"48","2008",115
"49","2009",156
"50","2010",163
"51","2011",208
"52","2012",187
"53","2013",227
"54","2014",172
"55","2015",227
"56","2016",196
"57","2017",227
"58","2018",245
"59","2019",266
"60","2020",266
"61","2021",287
"62","2022",318
"63","2023",292
