"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","18718","20.346"
"2","UNITED KINGDOM "," 5090","20.524"
"3","CHINA          "," 4592"," 5.776"
"4","GERMANY        "," 4553","12.972"
"5","ITALY          "," 3409","17.663"
"6","SPAIN          "," 3136","17.520"
"7","AUSTRALIA      "," 2845","18.595"
"8","CANADA         "," 2565","20.520"
"9","KOREA          "," 2055","14.679"
"10","NETHERLANDS    "," 1410","21.692"
"11","FRANCE         "," 1353"," 9.462"
"12","IRELAND        "," 1252","22.764"
"13","ISRAEL         ","  781","37.190"
"14","BRAZIL         ","  714"," 4.200"
"15","PORTUGAL       ","  653"," 8.372"
"16","INDIA          ","  555"," 7.303"
"17","DENMARK        ","  542"," 8.885"
"18","SWITZERLAND    ","  531","10.019"
"19","FINLAND        ","  473"," 9.854"
"20","SWEDEN         ","  456","12.667"
"21","NEW ZEALAND    ","  437"," 8.740"
"22","JAPAN          ","  413"," 4.802"
"23","TURKEY         ","  388"," 9.700"
"24","MALAYSIA       ","  347"," 7.383"
"25","GREECE         ","  336"," 7.149"
"26","SINGAPORE      ","  305","14.524"
"27","NORWAY         ","  304","13.217"
"28","AUSTRIA        ","  289"," 7.049"
"29","POLAND         ","  289"," 4.898"
"30","CZECH REPUBLIC ","  244"," 6.100"
"31","BELGIUM        ","  242"," 9.308"
"32","SLOVAKIA       ","  211"," 4.220"
"33","ROMANIA        ","  206"," 4.120"
"34","ESTONIA        ","  160","17.778"
"35","CYPRUS         ","  154"," 8.105"
"36","MEXICO         ","  151"," 4.314"
"37","ECUADOR        ","  115"," 4.423"
"38","JORDAN         ","  110","36.667"
"39","MOROCCO        ","  107","11.889"
"40","HUNGARY        ","   99"," 4.304"
"41","BANGLADESH     ","   97","32.333"
"42","ARGENTINA      ","   91","18.200"
"43","INDONESIA      ","   89"," 3.296"
"44","PAKISTAN       ","   69"," 4.312"
"45","BULGARIA       ","   66"," 8.250"
"46","BOSNIA         ","   65","16.250"
"47","LUXEMBOURG     ","   61","20.333"
"48","SAUDI ARABIA   ","   55"," 3.438"
"49","RUSSIA         ","   51"," 1.214"
"50","LIECHTENSTEIN  ","   50","25.000"
"51","THAILAND       ","   45"," 1.957"
"52","IRAN           ","   42"," 3.231"
"53","LITHUANIA      ","   42","10.500"
"54","CROATIA        ","   40"," 5.000"
"55","KAZAKHSTAN     ","   34"," 4.857"
"56","MALTA          ","   34","17.000"
"57","UKRAINE        ","   33"," 2.062"
"58","SRI LANKA      ","   27"," 6.750"
"59","COLOMBIA       ","   23"," 2.091"
"60","GEORGIA        ","   23","23.000"
"61","CHILE          ","   22"," 3.667"
"62","LATVIA         ","   19"," 9.500"
"63","OMAN           ","   19"," 6.333"
"64","IRAQ           ","   17"," 8.500"
"65","SOUTH AFRICA   ","   14"," 2.333"
"66","QATAR          ","   13"," 2.600"
"67","PHILIPPINES    ","   12"," 6.000"
"68","NIGERIA        ","   11"," 2.750"
"69","SERBIA         ","    7"," 2.333"
"70","SLOVENIA       ","    7"," 1.750"
"71","URUGUAY        ","    7"," 7.000"
"72","TUNISIA        ","    6"," 2.000"
"73","U ARAB EMIRATES","    6"," 2.000"
"74","EGYPT          ","    5"," 0.556"
"75","HONDURAS       ","    5"," 5.000"
"76","PERU           ","    5"," 0.625"
"77","ICELAND        ","    4"," 4.000"
"78","ALGERIA        ","    3"," 0.600"
"79","COSTA RICA     ","    3"," 1.500"
"80","MADAGASCAR     ","    2"," 2.000"
"81","TANZANIA       ","    2"," 2.000"
"82","VIETNAM        ","    2"," 2.000"
"83","KUWAIT         ","    1"," 1.000"
"84","LEBANON        ","    1"," 1.000"
"85","ALBANIA        ","    0"," 0.000"
"86","ARMENIA        ","    0"," 0.000"
"87","BELARUS        ","    0"," 0.000"
"88","MACEDONIA      ","    0"," 0.000"
"89","MONGOLIA       ","    0"," 0.000"
