"Year","Articles","MeanTCperArt","MeanTCperYear"
1973,1,5,0.0980392156862745
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,1,6,0.127659574468085
1978,1,2,0.0434782608695652
1979,0,0,0
1980,1,4,0.0909090909090909
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,1,0,0
1986,0,0,0
1987,0,0,0
1988,2,22,0.611111111111111
1989,2,10,0.285714285714286
1990,2,14.5,0.426470588235294
1991,5,49.4,1.4969696969697
1992,13,37.3846153846154,1.16826923076923
1993,10,35.8,1.15483870967742
1994,9,40.7777777777778,1.35925925925926
1995,16,53.1875,1.83405172413793
1996,20,59.6,2.12857142857143
1997,21,32.9047619047619,1.21869488536155
1998,25,47.2,1.81538461538462
1999,19,80.3157894736842,3.21263157894737
2000,20,65.2,2.71666666666667
2001,15,49.4,2.14782608695652
2002,18,76.5555555555556,3.47979797979798
2003,38,62.5526315789474,2.97869674185464
2004,28,93.6428571428572,4.68214285714286
2005,34,75.0882352941176,3.95201238390093
2006,37,79.8378378378379,4.43543543543544
2007,43,65.8837209302326,3.87551299589603
2008,34,82.0294117647059,5.12683823529412
2009,41,69.6585365853659,4.64390243902439
2010,42,55.1666666666667,3.94047619047619
2011,44,55.1136363636364,4.23951048951049
2012,56,63.2857142857143,5.27380952380952
2013,59,48.593220338983,4.4175654853621
2014,60,26.9,2.69
2015,56,33.0892857142857,3.6765873015873
2016,60,24.9666666666667,3.12083333333333
2017,81,29.3827160493827,4.19753086419753
2018,90,23.8666666666667,3.97777777777778
2019,74,15.7297297297297,3.14594594594595
2020,75,11.4,2.85
2021,86,8.05813953488372,2.68604651162791
2022,68,4.17647058823529,2.08823529411765
2023,37,1.45945945945946,1.45945945945946
